City,PM2_5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
Jaipur,80.04,183.66,8.7,60.65,55.85,41.64,1.24,12.76,37.5,6.99,23.31,0.82,182.0
Jorapokhar,217.13,343.78,7.14,7.88,23.85,6.37,0.0,85.55909090909091,51.14,1.01,2.76,0.82,275.5
Hyderabad,33.09,57.88,8.11,25.24,18.87,13.49,0.57,5.53,22.63,0.41,1.42,0.04,64.0
Amritsar,194.47,357.95,13.87,35.42,49.29,50.88,1.25,5.15,10.86,3.45,7.74,28.02,338.0
Mumbai,25.5,58.53,123.26,8.94,21.952387096774203,7.21,0.0,193.86,17.24,0.0,0.0,0.0,73.0
Gurugram,378.89,395.4,54.93,77.48,21.008159509202454,39.69,0.52,1.1,49.68,0.03,2.92,10.64,444.625
Chennai,70.43,48.55,10.66,15.41,13.46,106.9,0.79,8.49,47.51,0.3,0.32,0.82,133.0
Chennai,59.63,48.55,2.78,10.99,9.24,70.25339805825243,0.08,6.62,28.98,0.99,1.41,0.82,97.0
Lucknow,37.85,97.965,12.39,23.02,14.738095238095237,8.91,1.57,4.55,9.17,1.49,3.08,0.82,76.0
Hyderabad,21.46,93.0,9.63,8.91,18.4,24.94,0.68,8.75,19.35,0.91,1.61,0.04,89.0
Ahmedabad,73.24,141.54,29.16,31.0,48.0,16.645,29.16,58.68,25.75,0.0,0.0,0.0,209.0
Mumbai,25.5,58.53,123.26,8.94,15.45,7.21,0.0,193.86,17.24,0.0,0.0,0.0,73.0
Chennai,60.64,48.55,15.09,25.94,17.23,32.5,5.22,16.28,28.72,1.52,1.45,0.82,126.0
Other Cities,25.04,32.78,7.23,8.1,15.33,3.01,1.72,10.29,29.28,0.01,0.09,1.66,94.0
Hyderabad,60.55,148.34,9.42,41.27,11.22,24.64,0.19,14.86,63.64,0.1,1.74,0.25,137.0
Bengaluru,36.42,95.55,6.75,30.76,0.0,26.49,0.48,5.53,42.51,1.96,1.83,0.82,83.0
Lucknow,742.67,97.965,10.8,19.58,4.39,8.91,12.21,167.19,22.09,2.48,3.6,0.82,607.0
Delhi,76.76,112.46,5.66,37.28,37.28,39.39,1.71,7.63,51.76,2.29,9.34,0.0,154.0
Other Cities,17.74,80.26,10.41,20.1,19.29,18.23,0.49,10.98,27.33,0.2,0.19,0.1,57.0
Mumbai,25.5,58.53,123.26,8.94,142.52339784946238,7.21,0.0,193.86,17.24,0.0,0.0,0.0,73.0
Hyderabad,52.28,119.66,7.15,53.5,32.19,37.24,0.82,13.07,29.39,2.59,16.88,3.04,113.0
Thiruvananthapuram,24.0,36.0,0.7,5.2,3.3,2.97,0.73,4.5,19.1,1.01,2.76,0.82,47.0
Mumbai,8.73,24.69,21.26,17.34,38.51,7.62,0.55,11.08,17.01,1.5,1.44,0.45,59.0
Visakhapatnam,48.68,110.73,12.59,32.48,27.48,10.06,1.22,20.24,25.74,3.44,6.22,1.16,144.0
Jorapokhar,217.13,330.12,9.8,7.46,23.85,6.79,0.0,86.63545454545455,76.23,1.01,2.76,0.82,370.0
Bengaluru,54.91,129.65,16.22,54.43,56.07,14.89,1.24,7.48,46.99,0.78,1.54,0.82,128.0
Other Cities,24.03,38.26,25.9,6.85,32.68,7.53,1.48,8.83,2.73,0.0,8.45,2.28,104.0
Amritsar,49.81,123.28,18.38,10.75,27.53,12.12,0.76,14.83,45.072857142857146,1.75,1.97,1.98,124.0
Lucknow,25.56,97.965,5.11,16.47,4.14,8.91,2.24,11.13,29.71,2.08,1.93,0.82,107.0
Jaipur,66.4,252.96,4.73,17.89,19.77,23.21,0.69,11.23,57.77,0.67,1.0,0.82,132.0
Patna,67.26,111.48,61.82,48.93,84.2,21.68,1.04,10.36,12.3,3.54,7.12,1.54,163.0
Lucknow,71.02,97.965,9.31,25.79,26.12,40.94,0.58,10.03,22.67,0.49,0.55,0.82,125.0
Gurugram,95.82,395.4,125.57830188679245,99.24,141.44846153846154,39.69,0.51,2.66,21.04,0.86,8.63,10.64,226.0
Visakhapatnam,28.92,161.21,24.9,34.79,38.75,4.75,0.6,21.58,24.13,3.05,8.76,2.92,133.0
Lucknow,171.95,97.965,26.79,46.3,47.957619047619055,8.91,2.03,9.44,20.6,3.54,12.95,0.82,366.0
Jorapokhar,217.13,384.85,6.595000000000001,7.390000000000001,23.85,6.695,0.0,57.495000000000005,22.095,1.01,2.76,0.82,357.2
Lucknow,36.25,97.965,12.56,31.16,6.24,8.91,1.37,5.94,13.6,0.75,0.435,0.82,62.0
Bengaluru,54.91,148.57,6.3,31.09,18.25,22.73,0.58,1.91,49.42,0.87,0.47,0.82,121.0
Gurugram,186.4,395.4,48.3,110.34,45.41,39.69,2.03,23.38,24.63,0.86,8.63,10.64,401.0
Patna,64.47,158.08,20.01,23.26,43.27,49.8,1.8,10.55,26.46,0.18,0.71,0.43,141.0
Jaipur,27.05,51.3,5.19,18.36,19.88,24.77,1.01,12.24,36.92,0.37,4.53,0.82,78.0
Mumbai,25.5,58.53,85.41818181818182,12.973448275862069,50.96,7.21,1.44,147.43941176470588,10.23,0.0,0.0,0.0,73.0
Other Cities,0.16,3.16,11.69,0.07,15.41,22.42,0.02,1.08,1.29,0.38,0.05,0.72,19.0
Hyderabad,10.31,20.97,5.89,18.86,13.65,9.94,0.28,5.7,14.37,0.48,1.66,0.22,29.0
Lucknow,197.86,97.965,26.7,49.76,47.75,51.64,1.16,9.56,36.88,1.27,5.79,0.82,355.0
Lucknow,72.23,97.965,5.88,57.98,4.22,8.91,1.38,11.63,75.08,0.36,0.63,0.82,171.0
Delhi,29.42,81.97,12.1,27.89,26.39,22.01,0.92,8.22,26.67,2.46,15.92,0.27,75.0
Lucknow,163.19,97.965,27.94,57.12,49.51147368421052,8.91,1.84,7.5,40.04,1.48,4.44,0.82,321.0
Chennai,41.5,48.55,6.73,15.71,13.19,97.49407766990291,0.13,10.39,19.77,0.26,0.06,0.82,68.0
Thiruvananthapuram,12.24,28.73,2.97,10.15,7.71,2.9,0.96,6.78,27.94,1.01,2.76,0.82,62.0
Other Cities,84.5,144.04,7.47,22.97,16.35,5.68,0.93,12.07,8.79,9.14,1.96,1.16,179.0
Chennai,50.13,48.55,10.72,13.23,15.55,74.11,1.11,3.45,22.2,5.59,7.17,0.82,149.0
Other Cities,31.83,128.85,19.63,9.68,29.31,7.21,0.95,23.83,3.39,0.0,9.55,0.13,112.0
Mumbai,18.79,24.406,18.54576923076923,17.200384615384614,44.37,7.21,1.16,20.83,58.76,0.42,1.44,0.45,83.0
Mumbai,57.22,139.66,31.97,22.619999999999997,54.599999999999994,7.21,1.715,17.07,38.735,0.8400000000000001,1.44,0.45,139.2
Lucknow,103.3,97.965,9.15,49.16,30.77,34.82,1.59,6.44,30.7,1.32,4.61,0.82,294.0
Chennai,45.6,48.55,9.61,15.08,15.17,1.0,1.1,5.13,10.94,3.4,5.36,0.82,161.0
Mumbai,14.87,56.31,11.9,32.71,45.5,7.21,1.2,20.19,33.07,1.02,1.44,0.45,84.0
Delhi,254.36,365.91,34.12,56.46,75.36,55.71,1.74,13.67,69.5,4.44,11.39,0.07,444.0
Lucknow,32.51,97.965,2.57,11.77,4.22,8.91,2.23,9.19,21.09,1.24,1.18,0.82,106.0
Jaipur,14.15,39.86,7.27,15.62,18.86,25.69,0.63,9.93,23.46,0.21,2.83,0.82,51.0
Mumbai,25.5,58.53,123.26,8.94,116.64612903225807,7.21,0.0,193.86,17.24,0.0,0.0,0.0,73.0
Gurugram,63.16,120.48,3.93,13.16,10.27,17.78,0.77,7.94,100.91,3.34,5.97,4.73,166.0
Jorapokhar,217.13,152.22,6.99,7.11,23.85,6.59,0.4,31.45,22.77,1.01,2.76,0.82,134.0
Amritsar,63.68,115.75,17.14,10.13,26.59,12.03,1.03,7.86,42.74,1.94,2.09,1.98,144.0
Jaipur,35.31,73.74,6.87,28.17,28.26,29.62,0.71,11.8,45.97,1.24,5.94,0.82,95.0
Mumbai,25.5,58.53,123.26,8.94,19.29,7.21,0.0,193.86,17.24,0.0,0.0,0.0,73.0
Amritsar,51.72,175.01,12.28,48.32,61.6,4.67,1.785,14.28,27.6,0.62,2.13,4.38,135.0
Hyderabad,32.84,75.09,10.27,22.79,18.72,11.49,0.5,4.82,18.94,2.86,15.93,1.03,70.0
Chennai,61.7,48.55,6.01,20.32,15.16,52.0,8.59,6.71,33.56,0.99,6.67,0.82,230.0
Gurugram,80.0,177.56,50.59,40.4,71.38,39.69,1.97,7.88,39.54,1.99,6.01,10.64,175.0
Gurugram,90.64,167.07,25.31,36.81,39.18,39.69,0.0,6.216666666666667,51.7,2.7157142857142857,5.009391634980989,10.64,161.0
Patna,52.48,125.73,23.99,40.42,53.75,25.8,0.69,9.77,37.84,1.6,3.68,0.89,148.0
Jaipur,38.46,106.02,9.98,31.78,35.08,16.28,0.87,12.82,51.14,0.8,2.65,0.82,91.0
Jaipur,21.49,86.2,10.48,24.6,51.05,20.4,0.39,6.8,24.2,0.0,0.92,0.82,83.25
Mumbai,25.5,58.53,123.26,8.94,12.26,7.21,0.0,193.86,17.24,0.0,0.0,0.0,73.0
Patna,293.0,158.08,82.01,111.04,78.51,49.8,2.66,42.2,41.65,3.85,23.47,12.95,412.0
Jaipur,55.95,159.23,18.11,37.81,55.55,21.97,1.18,13.25,44.35,1.09,3.92,0.82,142.0
Lucknow,170.24,97.965,37.03,57.06,59.29,43.14,1.29,9.8,18.87,0.06,0.35,0.82,329.0
Delhi,62.06,208.53,9.34,31.63,35.38,29.3,0.85,16.92,60.81,1.43,2.24,0.0,302.0
Gurugram,126.27,251.38,18.57,30.62,32.5,39.69,1.27,8.25,34.98,2.24,1.99,10.64,315.0
Jorapokhar,217.13,121.86,8.45,8.203333333333333,23.85,6.766666666666667,0.36333333333333334,35.89666666666666,24.106666666666666,1.01,2.76,0.82,134.64
Chennai,54.0,48.55,10.84,13.79,18.37,73.0,0.88,9.78,59.47,17.31894736842105,20.841875,0.82,128.0
Ahmedabad,124.21923529411765,141.54,82.41535211267606,19.705295774647887,32.31947058823529,16.645,82.41535211267606,64.60109859154929,26.960588235294118,0.0,0.0,0.0,242.3841642228739
Mumbai,25.5,58.53,123.26,8.94,95.60307526881721,7.21,0.0,193.86,17.24,0.0,0.0,0.0,73.0
Hyderabad,8.48,18.17,5.28,10.62,4.97,5.02,0.15,2.97,26.27,0.04,0.47,0.19,47.0
Patna,61.78,158.08,7.07,16.08,23.12,49.8,0.8,2.68,21.51,0.13,0.64,0.25,138.0
Lucknow,33.05,97.965,6.59,21.38,16.67,10.77,0.93,6.11,23.93,3.85,12.94,0.82,72.0
Chennai,45.56,48.55,6.13,10.97,8.58,47.59300970873787,0.0,5.09,32.14,0.0,0.0,0.82,81.0
Visakhapatnam,90.0,147.0,3.55,85.93,48.58,12.55,1.27,9.9,43.62,5.97,14.9,3.9,136.0
Ahmedabad,26.7,72.83,2.72,27.0,15.18,16.645,0.36,21.57,42.16,5.63,34.1,3.97,101.0
Ahmedabad,31.13,141.54,26.73,177.13,106.35,16.645,26.73,53.57,67.63,4.26,14.93,1.28,712.0
Amritsar,42.33,117.43,17.64,11.27,26.66,12.13,0.76,10.04,35.09,1.63,1.63,2.05,112.0
Lucknow,64.82,97.965,4.59,32.51,4.22,8.91,1.17,5.25,60.39,0.95,1.28,0.82,188.0
Delhi,216.73,423.24,111.19,79.35,75.14,43.41,0.95,20.33,32.17,6.13,11.09,0.0,417.0
Lucknow,27.48,97.965,8.46,21.88,17.97,9.51,2.37,4.29,23.17,0.54,6.64,0.82,103.0
Jaipur,57.35,126.72,11.48,24.88,31.18,21.73,0.78,8.5,45.79,0.36,4.96,0.82,138.0
Hyderabad,49.68,118.38,5.08,39.57,24.61,15.47,0.62,5.59,26.07,1.54,11.43,1.71,122.0
Lucknow,230.94,97.965,32.32,59.57,58.14,38.07,1.35,10.21,46.2,0.4,2.22,0.82,362.0
Hyderabad,21.99,66.18,2.72,20.32,12.88,15.69,0.57,9.83,19.71,0.24,2.64,0.31,67.0
Gurugram,66.54,395.4,107.44245283018867,85.08,120.4876923076923,39.69,0.49,2.54,24.82,0.86,8.63,10.64,138.0
Ahmedabad,29.97,98.96,3.85,22.08,13.64,16.645,3.85,32.01,36.86,7.0,29.53,2.5,145.0
Patna,100.96,158.08,15.62,16.48,32.08,49.8,0.92,7.98,13.38,0.24,1.62,0.63,154.0
Mumbai,25.5,58.53,123.26,8.94,27.5,7.21,0.0,193.86,17.24,0.0,0.0,0.0,73.0
Other Cities,15.67,29.75,6.37,3.55,5.29,3.43,1.45,3.64,19.43,0.03,0.04,0.0,75.0
Lucknow,127.6,97.965,20.0,53.58,44.47,19.08,1.33,7.71,26.75,1.65,3.91,0.82,248.0
Jaipur,96.1,204.94,59.36,73.96,54.8,48.84,0.0,23.61,43.56,3.82,10.34,0.82,198.0
Visakhapatnam,22.913872832369943,62.28265895953757,6.534797687861271,9.725882352941177,0.0,6.867142857142858,0.0,8.470289017341042,9.698857142857143,0.0,0.0,0.0,124.34975369458128
Delhi,209.63,327.23,56.21,55.1,80.05,51.27,1.95,14.64,36.34,6.65,49.37,8.65,443.0
Lucknow,96.72,97.965,11.53,35.27,31.04,30.42,0.49,10.77,39.03,0.44,0.24,0.82,225.0
Bengaluru,51.7,121.42,15.35,51.13,35.03,19.55,1.23,7.78,18.12,0.64,0.84,0.82,98.0
Delhi,69.46,195.2,19.12,38.55,69.98,42.36,1.01,7.28,53.19,1.39,3.4,2.701219512195122,207.0
Chennai,55.43,48.55,4.96,14.99,11.5,94.11912621359224,0.12,4.73,37.5,0.24,0.02,0.82,142.0
Mumbai,25.5,58.53,123.26,8.94,82.3,7.21,0.0,193.86,17.24,0.0,0.0,0.0,73.0
Delhi,21.13,46.35,9.12,21.89,21.22,28.65,0.89,8.43,30.62,1.3,13.8,0.35,83.0
Thiruvananthapuram,10.3725,35.9275,1.085,3.76375,2.0275,2.79375,0.34375,3.19125,27.32875,1.01,2.76,0.82,41.75
Chennai,10.46,129.17521739130433,5.23,11.07,15.0,28.33,0.68,4.79,41.7,0.2,0.0,0.82,67.0
Ahmedabad,25.71,66.36,3.4,16.46,10.53,16.645,0.41,18.18785714285714,47.74,4.67,15.53,1.27,112.0
Gurugram,161.45,395.4,7.88,10.19,18.436687116564418,39.69,1.3117391304347825,4.18,6.13,3.24,32.42,10.64,411.0
Thiruvananthapuram,29.36,66.82,0.83,3.86,2.69,3.2,0.63,1.28,51.91,1.01,2.76,0.82,66.0
Amritsar,96.33,186.31,7.72,28.36,36.08,3.66,1.71,3.36,21.55,5.7,7.97,10.23,197.0
Bengaluru,16.03,16.77,3.81,18.34,18.74,23.47,1.61,2.31,35.48,0.87,1.26,0.82,91.0
Ahmedabad,42.27,111.98,10.87,87.8,55.23,16.645,10.87,129.66,39.52,1.15,23.37,2.04,275.0
Chennai,31.57,4.06,7.27,7.22,13.84,49.77,0.55,6.3,36.81,0.52,0.16,0.82,54.0
Other Cities,9.37,27.49,7.04,39.91,46.95,17.75,0.75,2.49,23.47,3.61,9.21,0.125,53.0
Lucknow,28.85,97.965,1.75,12.03,4.22,8.91,2.24,8.33,59.35,1.15,1.11,0.82,119.0
Other Cities,72.34,103.82,1.6,13.46,8.46,18.4,0.71,17.81,56.41,0.75,5.72,0.11,162.0
Gurugram,148.95,395.4,6.19,9.51,19.14926380368098,39.69,1.0,10.91,12.56,4.14,41.38,10.64,345.0
Bengaluru,15.08,29.63,9.97,18.83,22.65,11.23,0.65,4.26,17.14,0.45,1.54,0.82,53.0
Other Cities,122.45,230.52,18.29,24.06,37.8,42.99,3.05,7.92,10.96,0.0,3.77,0.25,296.0
Mumbai,73.92,137.11,22.08,37.22,59.3,17.01,0.92,10.17,40.44,6.89,1.44,0.45,164.0
Bengaluru,34.03,46.7,2.53,11.74,12.25,10.25,0.72,5.59,39.05,0.25,3.7,0.82,94.0
Patna,96.0828313253012,158.08,6.387951807228916,21.006686746987953,24.44421686746988,49.8,0.0,5.618313253012048,18.825903614457832,0.0,0.0,0.0,218.5
Jaipur,42.37,102.62,3.61,11.67,13.16,19.68,0.7,11.01,51.96,1.2,0.35,0.82,107.0
Hyderabad,37.8,70.86,7.97,23.75,16.66,10.32,0.57,4.71,14.48,0.65,5.21,1.67,78.0
Other Cities,66.92,143.42,19.28,22.18,37.74,36.63,3.06,14.66,7.99,0.0,0.06,0.13,118.0
Other Cities,73.44,126.46,40.99,13.88,82.17,10.7,1.0,10.75,18.19,2.3,0.2,5.91,182.0
Bengaluru,33.68,98.45,11.58,29.99,32.31,15.66,0.99,5.77,25.02,0.44,1.88,0.82,94.0
Patna,100.33885542168674,158.08,6.472530120481927,20.656445783132533,25.413614457831326,49.8,0.0,5.33855421686747,19.175060240963855,0.0,0.0,0.0,236.2906976744186
Gurugram,69.08,395.4,3.33,7.41,4.92,39.69,0.51,3.46,47.61,0.86,8.63,10.64,161.0
Delhi,51.56,82.26,19.27,36.6,14.42,40.92,0.44,5.4782758620689656,26.7,0.14,0.0,0.065,110.0
Lucknow,33.5,97.965,8.42,8.84,10.26,34.24,0.99,5.46,38.54,21.56,2.8,0.82,64.0
Ahmedabad,41.7,109.85,24.82,102.72,78.41,16.645,24.82,102.03,49.25,6.3,80.04,1.48,469.0
Amritsar,39.39,148.72,12.05,10.47,21.7,19.41,0.43,9.23,23.02,4.41,2.18,10.21,127.0
Patna,271.84,158.08,67.51,52.12,82.61,49.8,3.13,17.1,22.44,3.48,10.62,11.82,404.0
Gurugram,105.02,256.6,49.07,47.71,69.79,39.69,0.4,14.62,30.66,0.0,0.0,10.64,210.0
Delhi,85.02,206.04,30.83,54.91,58.01,30.85,1.32,21.6,51.06,4.1,30.97,0.91,208.0
Jaipur,28.93,58.8,13.13,20.51,29.64,12.89,0.64,11.05,17.52,0.43,8.47,0.82,80.0
Bengaluru,35.11,70.46,2.63,5.99,6.82,26.04,5.34,2.32,57.75,0.14,7.4,0.82,178.0
Gurugram,146.14000000000001,395.4,37.53,55.376666666666665,34.39,39.69,0.6066666666666667,9.87,31.349999999999998,0.86,8.63,10.64,344.5
Jorapokhar,217.13,69.57586206896552,5.9013793103448275,6.698965517241379,23.85,6.75,0.05923076923076923,20.363793103448277,37.728253968253966,1.01,2.76,0.82,101.352
Gurugram,179.39,395.4,5.22,10.22,18.916901840490798,39.69,15.95,4.16,16.58,1.35,13.46,10.64,357.0
Visakhapatnam,96.1,175.91,9.9,66.65,43.48,15.38,1.1,15.43,57.75,8.82,13.14,4.33,148.0
Chennai,92.64,48.55,6.37,26.51,14.45,114.36883495145631,0.27,20.69,49.15,3.21,9.9,0.82,202.0
Bengaluru,26.6,103.69,6.32,21.48,8.74,120.07,0.46,5.37,16.37,5.2,1.46,0.82,76.0
Delhi,118.34,247.77,43.09,78.84,42.21,53.05,0.31,14.85,23.14,1.56,2.36,0.0,292.0
Bengaluru,46.45,102.47,12.06,21.41,27.32,14.92,0.86,4.34,46.73,0.29,1.19,0.82,103.0
Amritsar,44.85,106.1,21.08,13.03,23.64,27.55,0.0,4.38,17.64,2.05,2.94,1.62,100.0
Patna,103.41265060240964,158.08,6.533614457831325,20.403493975903615,26.113734939759038,49.8,0.0,5.136506024096386,19.42722891566265,0.0,0.0,0.0,249.13953488372093
Other Cities,17.2,22.74,11.7,41.69,24.08,2.12,0.53,5.8,11.0,0.0,0.0,0.19,34.0
Amritsar,41.85,72.79,13.63,15.05,23.64,28.2,0.0,5.38,15.39,5.22,2.2862500000000003,0.868,80.0
Gurugram,38.26,65.49,19.41,10.01,19.32,39.69,0.54,4.16,55.95,0.0,0.0,10.64,95.0
Ahmedabad,75.04129411764706,141.54,153.52802816901408,26.27994366197183,43.38858823529412,16.645,153.52802816901408,63.09264788732394,19.328235294117647,0.0,0.0,0.0,129.77419354838707
Chennai,26.95,48.55,9.82,20.63,16.6,12.63,0.79,4.28,9.08,0.0,5.24,0.82,60.0
Hyderabad,12.88,33.71,7.04,15.24,6.91,4.9,0.17,4.33,54.45,0.06,0.9,0.52,86.0
Jorapokhar,217.13,63.41,8.13,9.33,23.85,6.75,0.32,11.59,11.76,1.01,2.76,0.82,53.0
Chennai,173.51,48.55,44.65,41.79,13.2,3.95,0.84,8.46,26.29,9.524736842105263,2.86,0.82,333.0
Jaipur,50.09,122.76,7.31,11.7,9.39,15.82,0.0,12.86,53.42,5.03,0.79,0.82,153.0
Gurugram,113.01,395.4,1.93,5.86,4.93,39.69,0.33,3.05,18.11,0.86,8.63,10.64,203.0
Ahmedabad,134.38267647058825,141.54,67.7187323943662,18.346535211267607,30.03185294117647,16.645,67.7187323943662,64.91284507042253,28.53794117647059,0.0,0.0,0.0,265.65689149560114
Gurugram,48.51,192.24678260869567,24.7,19.63,27.92,39.69,0.58,9.27,12.89,1.61,4.626692015209125,10.64,143.0
Other Cities,20.26,46.83,47.26,0.21,44.81,8.8,1.92,42.11,1.66,0.0,0.5,0.1,99.0
Hyderabad,14.89,36.89,4.84,17.27,11.82,17.83,0.37,7.35,20.59,0.16,1.21,0.06,51.0
Hyderabad,78.01,138.69,5.23,41.45,25.43,16.4,0.68,7.12,42.72,2.6,17.11,4.8,151.0
Hyderabad,45.77,119.32,9.23,35.7,10.05,16.73,0.15,8.68,62.1,0.09,0.94,0.2,150.0
Visakhapatnam,14.41,66.81,6.22,40.06,26.1,7.51,1.07,13.23,27.34,2.55,8.98,1.45,110.0
Bengaluru,30.65,70.46,4.23,18.06,14.59,33.23,3.56,6.72,58.97,221.89,4.06,0.82,91.0
Visakhapatnam,48.26,165.39,16.54,36.7,33.12,14.7,1.11,24.73,12.13,2.47,3.92,0.67,137.0
Visakhapatnam,42.73,94.73,16.83,37.04,30.6,10.34,0.66,24.68,46.0,5.47,11.25,6.36,101.0
Lucknow,107.05,97.965,6.48,14.3,13.41,13.64,1.18,6.03,37.29,12.95,9.28,0.82,205.0
Ahmedabad,50.97,141.54,42.41,49.52,35.15,16.645,42.41,38.67,43.21,4.1,32.38,7.02,904.0
Delhi,57.12,163.19,16.15,36.71,35.28,48.7,0.94,10.27,40.01,2.31,31.73,3.26,147.0
Ahmedabad,58.66,78.4,29.52,136.69,100.34,16.645,29.52,135.46,16.08,2.14,27.52,1.91,632.0
Amritsar,27.14,116.21818181818182,15.96,16.78,23.64,28.42,0.0,7.85,14.22,3.721967213114754,1.6225,0.616,45.0
Lucknow,37.99,97.965,7.92,24.0,19.11,11.05,1.05,6.3,24.56,0.45,1.61,0.82,78.0
Patna,75.17,158.08,6.9,15.87,8.44,49.8,1.0,51.48,66.44,0.29,2.52,0.97,130.0
Hyderabad,13.65,26.13,3.35,12.65,8.2,11.54,0.3,7.33,14.41,0.06,0.56,0.04,32.0
Jorapokhar,217.13,87.74206896551725,7.0793103448275865,7.07551724137931,23.85,6.75,0.1776923076923077,19.823103448275862,48.612698412698414,1.01,2.76,0.82,109.52799999999999
Amritsar,43.85,109.9,14.59764705882353,8.67,17.76705882352941,6.99,0.75,4.74,33.65352941176471,1.4923529411764704,3.148823529411765,4.456470588235294,119.0
Chennai,54.06,48.55,6.63,13.32,18.59,15.41,0.94,7.89,38.04,0.16,1.05,0.82,132.0
Hyderabad,58.12,96.04,8.65,67.71,13.14,42.78,0.36,44.42,49.82,0.07,1.16,1.32,102.0
Patna,146.47,158.08,23.33,42.09,65.49,49.8,1.05,4.92,34.67,0.09,0.42,0.08,304.0
Jaipur,54.38,152.36,13.28,34.29,39.19,24.32,0.91,13.62,38.75,0.9,6.98,0.82,130.0
Patna,287.55,158.08,45.18,37.27,56.54,49.8,1.63,16.41,18.66,2.69,7.67,7.95,435.0
Other Cities,34.51,63.23,3.87,38.2,23.52,21.38,0.72,12.19,17.24,0.02,0.01,0.10250000000000001,96.0
Mumbai,25.5,58.53,123.26,8.94,91.90632258064517,7.21,0.0,193.86,17.24,0.0,0.0,0.0,73.0
Chennai,48.17,48.55,10.31,16.34,26.31,28.24,0.99,8.08,32.63,0.0,2.03,0.82,108.0
Amritsar,47.94,169.06,19.11,12.63,27.07,12.34,0.62,10.92,16.48,1.3,1.1,8.82,131.0
Delhi,86.17,194.61,32.16,56.77,58.22,28.75,1.41,21.27,95.32,2.19,4.9,0.0,208.0
Lucknow,97.59,97.965,7.27,25.31,18.95,11.64,1.03,7.29,47.37,1.62,126.18,0.82,197.0
Visakhapatnam,20.89,89.72,10.87,38.54,27.36,11.46,0.61,22.45,24.42,4.36,8.58,2.71,69.0
Mumbai,16.15,56.33,28.85,11.75,39.43,14.04,0.47,8.57,8.0,2.56,1.44,0.45,64.0
Thiruvananthapuram,30.0,43.5,1.0,3.2,0.1,4.13,0.02,2.35,3.85,1.01,2.76,0.82,63.6
Ahmedabad,135.69408823529412,141.54,65.82239436619719,18.171211267605635,29.736676470588236,16.645,65.82239436619719,64.9530704225352,28.741470588235295,0.0,0.0,0.0,268.6598240469208
Lucknow,46.07,97.965,12.5,28.22,24.8,29.56,1.09,6.35,13.84,0.26,0.63,0.82,72.0
Patna,54.04,158.08,17.3,73.4,29.51,49.8,1.63,44.97,98.1,1.62,16.5,6.38,167.0
Lucknow,181.88,97.965,17.55,37.62,45.81825396825397,8.91,1.89,6.88,29.13,3.61,8.46,0.82,346.0
Jaipur,73.42,170.28,11.18,56.58,56.82,49.91,1.06,10.86,52.82,4.02,11.76,0.82,189.0
Hyderabad,31.88,75.73888888888888,8.49,18.0,26.49,18.75027777777778,0.93,6.49,20.77,0.17,1.39,0.13,100.0
Other Cities,58.68,99.91,11.84,12.41,16.18,24.38,0.77,5.62,9.04,7.95,0.24,0.68,149.0
Mumbai,25.5,58.53,123.26,8.94,25.61,7.21,0.0,193.86,17.24,0.0,0.0,0.0,73.0
Other Cities,6.48,23.83,2.39,3.54,3.83,8.32,0.47,5.97,11.63,0.0,0.82,0.12483870967741935,33.0
Chennai,173.51,48.55,11.46,16.02,14.87,10.86,1.11,5.22,57.14,2.5246153846153847,8.195,0.82,333.0
Gurugram,87.51,395.4,15.75,8.25,14.43,39.69,0.45,8.05,13.38,0.86,8.63,10.64,202.0
Jorapokhar,217.13,184.4,9.04,11.11,23.85,7.03,0.32,59.60666666666666,27.21,1.01,2.76,0.82,156.0
Amritsar,54.38,132.54,19.87,12.86,27.54,12.57,0.63,14.43,34.71857142857143,1.73,2.05,1.9,113.0
Visakhapatnam,46.69,92.64,2.95,29.13,17.88,10.57,0.72,8.71,69.31,4.39,11.24,1.41,96.0
Delhi,203.03,326.46,56.81,80.62,57.55,55.14,1.01,23.77,106.16,0.93,5.08,0.07,357.0
Lucknow,107.48,97.965,19.5,46.27,35.09,40.46,1.38,9.53,29.36,2.41,8.41,0.82,198.0
Chennai,80.95,48.55,10.29,17.86,27.37,56.93,1.04,12.48,36.12,0.08,1.79,0.82,150.0
Ahmedabad,73.24,141.54,2.19,21.7,23.26,16.645,2.19,43.28,41.1,0.02,0.0,1.65,209.0
Thiruvananthapuram,18.124,36.132,1.302,7.486,0.0,2.27,0.0,3.524,6.018000000000001,1.01,2.76,0.82,52.8
Jorapokhar,43.84,153.2,24.44,9.97,23.85,9.31,0.71,23.33,61.56,1.01,2.76,0.82,170.0
Amritsar,34.54,101.2,28.08,25.44,38.34,16.9,0.68,10.19,39.895714285714284,1.65,2.12,1.88,94.0
Jorapokhar,24.108305084745762,133.45,10.16,12.02,23.85,5.93,1.11,5.6,22.38,1.01,2.76,0.82,82.83720930232558
Gurugram,49.08,156.48,5.51,8.09,10.59,4.04,0.53,5.38,55.44,4.49,2.75,1.56,172.0
Other Cities,70.44,113.42,22.93,22.23,31.54,14.44,0.49,12.92,9.02,0.52,9.05,0.115,101.0
Mumbai,25.5,58.53,68.81113636363636,14.70206896551724,45.33,7.21,1.17,137.3364705882353,25.6875,0.0,0.0,0.0,73.0
